parent_id	composite_kind	resolution	expected_result_count	inspected_scope	evidence_source	reason
2509.21269	dataset_benchmark	expanded_results	3	Classification Table 6a, per-domain and length appendices, English/Russian/bilingual training setup, low-FPR metric, and artifact links were inspected.	https://arxiv.org/abs/2509.21269	English-only, Russian-only, and bilingual Mistral classifiers each exceed 0.98 mean accuracy and 0.97 TPR at one-percent FPR but lack released detector states.
2507.15286	benchmark	expanded_results	3	Cross-style AUROC, weighted AUROC, URSS, attack tables, and all Binoculars, Fast-DetectGPT, and RADAR rows were inspected.	https://arxiv.org/abs/2507.15286	Three familiar detectors cross 0.90 in at least one aggregate/high cell, but poor operational robustness metrics prevent a hidden promotion.
2505.24523	attack_study	expanded_results	5	Table 1 macro-F1 cells for all six detector columns across two domains, two generators, and adversarial DPO variants plus Table 2 TPR at one- and five-percent FPR were inspected with method and release statements.	https://arxiv.org/abs/2505.24523	Five named detectors reach 0.90 on at least one original or narrow domain/generator/fixed-FPR cell; LLM-DetectAIve peaks below 0.90, while attack collapse and study-specific fitted states prevent hidden promotion.
2505.15422	survey	no_qualifying_result	0	Survey taxonomy, every detector/authorship table, high-percentage narrative, cited task identities and years, comparative claims, and artifact statements were inspected.	https://arxiv.org/abs/2505.15422	Its high percentages concern older authorship-verification, stylometry, or differently scoped cited studies rather than a new embedded 2025-2026 general AI-text detector result; it releases no detector state.
2504.11369	benchmark	expanded_results	12	Every named row and precision, recall, and F1 cell in Turing Test OOD Table 10, main and appendix task tables, method definitions, attack results, fine-tuning statements, and release links were inspected.	https://arxiv.org/abs/2504.11369	All twelve named systems cross 0.90 on at least one OOD metric cell; every one receives a method/state disposition even when unseen-model F1 is weak or only precision qualifies.
2503.15044	domain_augmentation_study	expanded_results	6	Binary Table 3, cross-dataset Figure 2, length Table 4, multiclass Table 5, and release statements were inspected.	https://arxiv.org/abs/2503.15044	Six supervised models average at least 0.90 macro F1 across four dialogue tasks, but cross-dataset transfer and specialist-domain limits are individually recorded.
2502.15654	training_study	expanded_results	4	Detector Table 2, model-collapse training use, in/out-of-distribution results, public repository, and checkpoint links were inspected.	https://arxiv.org/abs/2502.15654	RoBERTa, DeBERTa-v3, ModernBERT, and the cited MAGE Longformer cross 0.90 in at least one aggregate AUC; only ModernBERT has a frozen public state.
2502.12611	bias_evaluation	expanded_results	20	Overall and subgroup fixed-five-percent-FPR Tables 15-19, every public detector column, appendix in-domain Figure 42, out-of-domain Figure 43, all 22 classical-model labels, and artifact descriptions were inspected.	https://arxiv.org/abs/2502.12611	Six public detectors cross 0.90 on an overall/generator/subgroup cell and fourteen study-fitted classical models reach 0.90 in-domain accuracy; every one is expanded with weak average or out-of-domain evidence preserved.
2502.12064	language_shared_task	no_qualifying_result	0	Every English/Spanish model, threshold, generated-class, human-class, and macro-F1 cell in Tables 3-6, plus comparative claims and release statements were inspected.	https://arxiv.org/abs/2502.12064	The best reported class or aggregate F1 is 0.8249, below the frozen threshold; no named submitted version has a hidden qualifying slice.
2501.11914	shared_task_system	no_qualifying_result	0	English and multilingual official test scores, inverse-perplexity ensemble components, task setup, and artifact statements were inspected.	https://arxiv.org/abs/2501.11914	The primary system's 0.7458 English and 0.7513 multilingual macro F1 results do not meet the qualifying threshold.
2501.11012	shared_task_overview	expanded_results	39	English Tables 4 and 8 and multilingual Tables 6 and 9-11 were inspected for every submission, baseline, domain, prompt group, and language; bibliography/system-description mappings and the explicit no-manuscript footnote were resolved.	https://arxiv.org/abs/2501.11012	Seventeen English and twenty-two multilingual submission states reach 0.90 accuracy on at least one reported slice; all receive track-specific rows despite official aggregate macro F1 below 0.84.
2501.09813	shared_task_system	expanded_results	1	Validation Table 2, official test Table 3, per-source and per-generator Figures 3-4, architecture, length, hyperparameters, and release statements were inspected.	https://arxiv.org/abs/2501.09813	The Unibuc causal state reaches 0.966 validation macro F1 and nearly 100 percent on named test sources but only 0.8301 official macro F1, so the high narrow results receive an explicit child disposition.
2501.08913	shared_task_overview	expanded_results	20	Every submission/baseline row and every per-domain, per-attack, and aggregate TPR-at-five-percent-FPR cell in official Tables 4-5, plus system descriptions, primary papers, and bibliography were inspected.	https://arxiv.org/abs/2501.08913	Twenty submitted versions or baselines cross 90 percent on at least one aggregate, domain, or attack cell; all are source-mapped individually even when official aggregates are near chance.
