arxiv_id	mapping_kind	disposition_code	flag_resolution	reason	source
2606.04906	non_candidate_class	benchmark_study	not_flagged	AITDNA redefines and benchmarks mixed human-machine provenance but does not release a new qualifying detector.	https://arxiv.org/abs/2606.04906
2606.04177	non_candidate_class	analysis_only	not_flagged	This is a linguistic-feature generalization analysis without a threshold metric, fixed detector state, or deployment comparison in the export.	https://arxiv.org/abs/2606.04177
2606.02158	explicit_disposition	retain_reject	not_flagged	Strong AUROC and public code lack a like-for-like Binoculars row and a complete length, batch, and timing basis.	https://arxiv.org/abs/2606.02158
2606.00402	explicit_disposition	exclude_rewriting	not_flagged	The framework expressly converts rewrite-based detectors and therefore remains outside the no-rewriting method boundary.	https://arxiv.org/abs/2606.00402
2605.27921	explicit_disposition	retain_reject	candidate_disposition	Reported 0.927 AUROC is below the accuracy lead sought and the explanation-generating system lacks fixed speed evidence.	https://arxiv.org/abs/2605.27921
2605.25281	explicit_disposition	exclude_generation	candidate_disposition	The 1.5B detector autoregressively reasons before classifying, making generation part of inference.	https://arxiv.org/abs/2605.25281
2605.20761	non_candidate_class	shared_task_overview	false_positive	The perfect F1 belongs to the top Counter Turing Test submission; this paper surveys submissions and supplies no new fixed detector.	https://arxiv.org/abs/2605.20761
2605.16107	explicit_disposition	retain_reject	candidate_disposition	Only supplementary material was released, so no runnable detector state supports the claimed gains.	https://arxiv.org/abs/2605.16107
2605.15518	non_candidate_class	benchmark_study	false_positive	SOTA refers to detectors evaluated by the multilingual DetectRL-X benchmark, not to a new detector proposed by this work.	https://arxiv.org/abs/2605.15518
2605.14240	non_candidate_class	attack_evaluation	false_positive	The SOTA phrase describes methods under study; this paper evaluates paraphrase resilience and does not propose a qualifying detector.	https://arxiv.org/abs/2605.14240
2605.06903	explicit_disposition	advance_blocker	candidate_disposition	Paper-era and current-v5 states are incomparable; v5 trails stored comparator AUROC and shipped thresholds fail local transfer.	https://arxiv.org/abs/2605.06903
2605.03723	non_candidate_class	different_unit	false_positive	The strong-performance claim concerns change-point localization in human-LLM coauthored text, not document-level binary detection.	https://arxiv.org/abs/2605.03723
2605.02712	non_candidate_class	different_task	not_flagged	This SemEval system detects conspiracy belief; machine-generated-text detection is only the origin of its training recipe.	https://arxiv.org/abs/2605.02712
2605.02374	explicit_disposition	retain_reject	candidate_disposition	Few-shot adversarial training is not a released general detector with like-for-like Binoculars, low-FPR, and A6000 evidence.	https://arxiv.org/abs/2605.02374
2604.25860	explicit_disposition	exclude_multi_perturbation	candidate_disposition	Detection depends on randomized target-text shuffling and ensemble features, crossing the strict multi-perturbation boundary.	https://arxiv.org/abs/2604.25860
2604.21365	non_candidate_class	different_task	false_positive	This shared-task system detects and attributes generated source code rather than general prose.	https://arxiv.org/abs/2604.21365
2604.21300	non_candidate_class	authorship_attribution	false_positive	The SOTA claim applies to authorship-attribution datasets; the few-shot AI-detection statement gives no fixed metric, state, or deployment basis.	https://arxiv.org/abs/2604.21300
2604.21223	explicit_disposition	runnable_control	candidate_disposition	The best model pair is gated and the strongest anonymous pair trails stored Binoculars on the frozen local rows.	https://arxiv.org/abs/2604.21223
2604.16923	explicit_disposition	exclude_multi_perturbation	candidate_disposition	Its standardization draws 10,000 categorical auxiliary samples per token, violating the strict multi-perturbation constraint.	https://arxiv.org/abs/2604.16923
2604.16607	non_candidate_class	evaluation_study	not_flagged	This work compares existing detectors and finds unstable rankings; it does not propose a new released state.	https://arxiv.org/abs/2604.16607
2606.00016	explicit_disposition	retain_reject	candidate_disposition	Attention attribution lacks a released detector state and fixed low-FPR, 2,048-token A6000 comparison.	https://arxiv.org/abs/2606.00016
2604.11796	non_candidate_class	language_benchmark	not_flagged	C-ReD is a Chinese benchmark and resource, not a general English DW1 replacement.	https://arxiv.org/abs/2604.11796
2604.04932	non_candidate_class	different_task	false_positive	The comparative claim concerns four-class creator/editor attribution, not the fixed binary general-document task.	https://arxiv.org/abs/2604.04932
2604.02008	explicit_disposition	exclude_retrieval	candidate_disposition	The defining proxy alignment uses k-nearest-neighbor lookup, violating the no-retrieval constraint.	https://arxiv.org/abs/2604.02008
2603.27949	non_candidate_class	language_shared_task	false_positive	First place and baseline gains are confined to a Chinese shared-task ensemble, not a general English detector comparison.	https://arxiv.org/abs/2603.27949
2604.19768	non_candidate_class	analysis_only	not_flagged	The rhetorical-miscalibration framework offers possible screening features but no binary detector accuracy, state, or comparator.	https://arxiv.org/abs/2604.19768
2603.24981	explicit_disposition	exclude_regeneration	candidate_disposition	The strong same-table AUROC requires an ideal-sequence mutation-repair term, violating the no-regeneration constraint.	https://arxiv.org/abs/2603.24981
2603.23146	explicit_disposition	retain_reject	candidate_disposition	The 0.9734 in-domain F1 feature detector degrades under cross-domain and cross-generator shift and lacks fixed Binoculars, low-FPR, and A6000 evidence.	https://arxiv.org/abs/2603.23146
2603.18750	explicit_disposition	retain_reject	candidate_disposition	The proposed detectors peak at 91.67 percent on the 60-row English test and 98.3 percent on a 60-row thematic test; the public notebooks ship no checkpoint, and no matched Binoculars, low-FPR, or timing result establishes parity.	https://arxiv.org/abs/2603.18750
2603.05617	explicit_disposition	retain_reject	not_flagged	The explanatory FastDetectGPT ensemble lacks a frozen public detector state and like-for-like low-FPR and speed evidence.	https://arxiv.org/abs/2603.05617
2602.15514	explicit_disposition	retain_reject	candidate_disposition	DependencyAI claims competitive performance but reports cross-domain overprediction and no fixed metric, artifact state, or A6000 comparator in the export.	https://arxiv.org/abs/2602.15514
2602.11871	non_candidate_class	analysis_only	not_flagged	DMAP is a general text representation illustrated through case studies, not a frozen detector with a qualifying accuracy result.	https://arxiv.org/abs/2602.11871
2602.08031	explicit_disposition	calibration_watchlist	candidate_disposition	The public calibration code ships no per-dataset supervised state and lacks a whole-path fixed A6000 comparison.	https://arxiv.org/abs/2602.08031
2602.01240	explicit_disposition	retain_reject	candidate_disposition	Prototype routing adds supervised state and proxy-selection requirements without a released fixed DW1 parity and two-A6000 result.	https://arxiv.org/abs/2602.01240
2602.13226	explicit_disposition	exclude_rewriting	candidate_disposition	The claimed improvement over Binoculars depends on LLM rewrites of the target text.	https://arxiv.org/abs/2602.13226
2601.20006	explicit_disposition	retain_reject	candidate_disposition	The 99.6 percent result is token-level accuracy on the authors' benchmark, not document AUROC or low-FPR parity, and no fixed deployment artifact is established.	https://arxiv.org/abs/2601.20006
2601.04833	explicit_disposition	retain_reject	candidate_disposition	The SOTA claim lacks like-for-like Binoculars accuracy and a fixed A6000 speed basis.	https://arxiv.org/abs/2601.04833
2601.04641	explicit_disposition	exclude_perturbation	candidate_disposition	Near-perfect accuracy follows differentially private target-text entity sanitization, an input transformation outside the fixed no-perturbation screen.	https://arxiv.org/abs/2601.04641
2601.03812	explicit_disposition	retain_reject	candidate_disposition	DistilBERT reaches 0.96 ROC-AUC but only 88.11 percent accuracy on two topic-split datasets and has no released state, low-FPR row, or fixed speed result.	https://arxiv.org/abs/2601.03812
2512.21709	non_candidate_class	language_specific	false_positive	The roughly 91 percent accuracy and F1 claim is for fine-tuned Bengali detectors, not a general English replacement.	https://arxiv.org/abs/2512.21709
2512.09292	non_candidate_class	bias_evaluation	false_positive	Strong performance describes existing systems; this paper audits demographic bias and releases no new detector.	https://arxiv.org/abs/2512.09292
2511.21744	explicit_disposition	retain_reject	candidate_disposition	The 0.995 ROC-AUC is one balanced in-domain Kaggle split with no matched Binoculars row, frozen model, cross-domain test, or measured timing artifact.	https://arxiv.org/abs/2511.21744
2511.17402	non_candidate_class	language_toolkit	false_positive	Competitive performance concerns a Spanish linguistic-analysis toolkit on readability and detection demonstrations, not a fixed general English detector.	https://arxiv.org/abs/2511.17402
2511.01192	explicit_disposition	retain_reject	candidate_disposition	The supervised mixture-of-experts claims generalization but lacks a released deployment state and fixed comparator evidence.	https://arxiv.org/abs/2511.01192
2511.00988	explicit_disposition	retain_reject	not_flagged	The easy-to-hard supervision framework reports broad effectiveness but no threshold metric, released detector state, or fixed Binoculars and A6000 comparison in the export.	https://arxiv.org/abs/2511.00988
2510.22874	non_candidate_class	dataset_only	false_positive	The paper releases a dataset; its 58.35 percent binary accuracy is only a weak baseline, not a candidate detector.	https://arxiv.org/abs/2510.22874
2510.20610	non_candidate_class	language_shared_task	false_positive	The 0.7701 F1 result is fifth place on an Arabic shared task and does not establish a general English detector.	https://arxiv.org/abs/2510.20610
2510.19492	non_candidate_class	evaluation_suite	false_positive	Accuracy and strongest-performance language describes cross-task analysis of existing methods; MINT is an evaluation suite, not a new detector.	https://arxiv.org/abs/2510.19492
2510.16573	non_candidate_class	language_specific	false_positive	The 91.26 percent accuracy and 91.29 F1 results are for a small Urdu-specific supervised dataset.	https://arxiv.org/abs/2510.16573
2510.16549	non_candidate_class	different_task	false_positive	The F1 and recall values concern deficient peer-review classification, not AI-authorship detection.	https://arxiv.org/abs/2510.16549
2510.12608	explicit_disposition	retain_reject	candidate_disposition	Supervised stylistic results lack a runnable frozen state and like-for-like low-FPR, length, and A6000 evidence.	https://arxiv.org/abs/2510.12608
2510.12476	non_candidate_class	benchmark_study	false_positive	SOTA and correlation claims concern a personalization stress-test and performance predictor, not a new qualifying detector.	https://arxiv.org/abs/2510.12476
2510.03502	non_candidate_class	language_dataset	false_positive	Competitive performance is a baseline result on a new Arabic dataset, not a released general English detector.	https://arxiv.org/abs/2510.03502
2510.00890	non_candidate_class	different_unit	false_positive	The SOTA F1 and AUROC results concern span localization in scientific documents, not document-level general detection.	https://arxiv.org/abs/2510.00890
2509.26051	non_candidate_class	language_benchmark	false_positive	Best-performing claims summarize a Central-European-language benchmark, not a new general English detector.	https://arxiv.org/abs/2509.26051
2509.25154	non_candidate_class	different_task	false_positive	J-Detector classifies LLM-generated judgment scores and candidates rather than ordinary document authorship.	https://arxiv.org/abs/2509.25154
2509.22147	explicit_disposition	retain_reject	candidate_disposition	The ensemble claim lacks a fixed public state, matched operating point, and latency basis.	https://arxiv.org/abs/2509.22147
2509.21269	non_candidate_class	dataset_only	false_positive	LLMTrace is a bilingual corpus for classification and interval localization, not a detector release.	https://arxiv.org/abs/2509.21269
2509.18880	explicit_disposition	retain_reject	candidate_disposition	Training-data diversity gains do not establish a released detector that beats Binoculars on identical held-out rows.	https://arxiv.org/abs/2509.18880
2510.02319	explicit_disposition	exclude_rewriting	candidate_disposition	PIFE standardizes the target through a multi-stage transformation and scores the rewrite discrepancy, violating the no-rewriting boundary.	https://arxiv.org/abs/2510.02319
2509.15550	explicit_disposition	exclude_regeneration	candidate_disposition	The SOTA gains require iterative construction of an ideal AI sequence, violating the no-regeneration constraint.	https://arxiv.org/abs/2509.15550
2509.14268	explicit_disposition	exclude_retrieval	candidate_disposition	Reference Clustering performs nearest-reference lookup over retained human and generated sets.	https://arxiv.org/abs/2509.14268
2509.02499	explicit_disposition	exclude_retrieval	candidate_disposition	Inference activates examples from a stylistics reference repository for conditional thresholds, crossing the no-retrieval gate.	https://arxiv.org/abs/2509.02499
2509.00731	non_candidate_class	language_specific	false_positive	The 95.94 percent result is a Chinese shared-task Qwen detector, not a general English replacement.	https://arxiv.org/abs/2509.00731
2509.00623	explicit_disposition	retain_reject	candidate_disposition	Near-perfect RoBERTa scores are confined to the M-DAIGT news-and-abstract task; no public trained state, cross-distribution test, low-FPR result, or fixed deployment basis is released.	https://arxiv.org/abs/2509.00623
2508.18715	non_candidate_class	domain_specific	false_positive	Competitive accuracy and sub-second generation are for explanation-first customer-service dialogue detection, not fixed general-document inference.	https://arxiv.org/abs/2508.18715
2508.13768	explicit_disposition	retain_reject	candidate_disposition	Supervised spectral-alignment results lack a public frozen state and same-row low-FPR, length, and speed comparison.	https://arxiv.org/abs/2508.13768
2508.11933	explicit_disposition	retain_reject	candidate_disposition	The SOTA claim comes from a multi-LLM-agent inference pipeline with no public fixed state or plausible near-Binoculars timing basis.	https://arxiv.org/abs/2508.11933
2508.11343	explicit_disposition	retain_reject	candidate_disposition	The formula is fast, but the public artifact is incomplete and published accuracy does not establish Binoculars parity under DW1.	https://arxiv.org/abs/2508.11343
2508.06913	explicit_disposition	exclude_multi_perturbation	candidate_disposition	The F1 gains depend on sentiment-altering and semantic-preserving target transformations, violating the strict multi-perturbation screen.	https://arxiv.org/abs/2508.06913
2508.01754	explicit_disposition	retain_reject	candidate_disposition	Best-performance language lacks a released qualifying state and matched low-FPR and A6000 comparison.	https://arxiv.org/abs/2508.01754
2507.23577	explicit_disposition	retain_reject	candidate_disposition	Tail normalization targets attacks but has no released fixed state or complete like-for-like Binoculars and A6000 result.	https://arxiv.org/abs/2507.23577
2507.15286	non_candidate_class	benchmark_study	false_positive	SOTA and AUROC language concerns detectors challenged by the SHIELD benchmark and humanification attack, not a new replacement detector.	https://arxiv.org/abs/2507.15286
2507.05157	explicit_disposition	retain_reject	candidate_disposition	The 0.9547 Task-A result comes from one Defactify fine-tune, including a closed hosted GPT-4o-mini state, with no released detector, low-FPR result, or fixed deployment comparison.	https://arxiv.org/abs/2507.05157
2506.15683	explicit_disposition	retain_reject	candidate_disposition	Several probability extractors, no released detector state, and incomplete speed evidence prevent promotion.	https://arxiv.org/abs/2506.15683
2506.06705	explicit_disposition	reject_scope	candidate_disposition	The SOTA gains target legal and medical domain distillation rather than a general DW1 replacement.	https://arxiv.org/abs/2506.06705
2506.02959	non_candidate_class	different_unit	false_positive	F1 and superiority claims concern word- and sentence-level human-AI coauthoring localization, not document detection.	https://arxiv.org/abs/2506.02959
2506.01702	explicit_disposition	retain_reject	candidate_disposition	The first-ranked 14B mdok system has official test AUROC 0.853 and F1 0.898; its public source ships no trained state, inference timing, low-FPR row, or fixed A6000 comparison.	https://arxiv.org/abs/2506.01702
2505.24523	non_candidate_class	attack_study	false_positive	SOTA refers to detectors being stress-tested; the contribution generates evasion text rather than a replacement detector.	https://arxiv.org/abs/2505.24523
2505.15422	non_candidate_class	survey	false_positive	SOTA language appears in a systematic authorship-analysis review, not a new detector result.	https://arxiv.org/abs/2505.15422
2505.15261	explicit_disposition	retain_reject	candidate_disposition	Multiple reasoning LLM agents provide no plausible near-Binoculars latency or fixed public deployment artifact.	https://arxiv.org/abs/2505.15261
2505.14271	explicit_disposition	reject_scope	candidate_disposition	The result is fine-grained multilingual academic and hybrid attribution rather than the fixed binary general-document task.	https://arxiv.org/abs/2505.14271
2505.13855	explicit_disposition	retain_reject	candidate_disposition	Supervised ensemble gains lack a released state and like-for-like operating-point and speed evidence.	https://arxiv.org/abs/2505.13855
2505.12507	explicit_disposition	exclude_retrieval	candidate_disposition	In-domain accuracy and AUC beat same-table Binoculars, but the OOV path performs nearest-training-vocabulary lookup, cross-domain accuracy trails it, and no comparable detector artifact, timing, or two-A6000 basis is released.	https://arxiv.org/abs/2505.12507
2505.11550	explicit_disposition	retain_reject	candidate_disposition	The 0.994 F1 is fifth place on one Defactify binary task; the multi-encoder system has no public trained state, cross-distribution, low-FPR, or speed basis.	https://arxiv.org/abs/2505.11550
2505.05084	explicit_disposition	calibration_watchlist	candidate_disposition	The method controls FPR after RealDet calibration but ships no DW1 state or whole-detector A6000 comparison.	https://arxiv.org/abs/2505.05084
2504.21019	explicit_disposition	exclude_multi_perturbation	candidate_disposition	Target-text dynamic perturbations violate the fixed multi-perturbation constraint.	https://arxiv.org/abs/2504.21019
2504.11369	explicit_disposition	retain_reject	candidate_disposition	OTBDetector outperforms most baselines on its new benchmark but exposes no qualifying threshold metric, frozen detector state, or fixed Binoculars and A6000 row.	https://arxiv.org/abs/2504.11369
2504.02873	explicit_disposition	exclude_rewriting	candidate_disposition	The detector inserts off-topic content into the target, violating the no-rewriting and perturbation gate.	https://arxiv.org/abs/2504.02873
2503.23622	non_candidate_class	different_task	false_positive	False-positive and false-negative language critiques detectors; the proposed tool scores assessment design rather than text authorship.	https://arxiv.org/abs/2503.23622
2503.22338	explicit_disposition	retain_reject	candidate_disposition	The allowed NELA-XGBoost branch reports 0.9945 Task-A F1 on Defactify, but public feature code ships no trained state and no cross-distribution, low-FPR, Binoculars, or timing comparison.	https://arxiv.org/abs/2503.22338
2503.15044	non_candidate_class	domain_augmentation	false_positive	Accuracy is analyzed for synthetic-dialogue training augmentation, not a released general-document detector state.	https://arxiv.org/abs/2503.15044
2503.00032	non_candidate_class	language_specific	false_positive	The AUROC improvement is for a Korean-specific detector and benchmark, not a general English replacement.	https://arxiv.org/abs/2503.00032
2502.16857	explicit_disposition	retain_reject	candidate_disposition	Perfect Task-A F1 comes from one Defactify shared-task split and a DeBERTa ensemble, without a public trained state, cross-distribution, low-FPR, or fixed deployment result.	https://arxiv.org/abs/2502.16857
2502.15654	non_candidate_class	training_study	false_positive	The detector is an auxiliary resampling component in a model-collapse study, not a proposed deployment replacement.	https://arxiv.org/abs/2502.15654
2502.12734	explicit_disposition	retain_reject	candidate_disposition	GREATER's 0.67 percent figure is attack-success reduction, not absolute detector accuracy, and no fixed Binoculars, state, or A6000 result is supplied.	https://arxiv.org/abs/2502.12734
2502.12611	non_candidate_class	bias_evaluation	false_positive	SOTA and accuracy language describes detectors audited for author-role bias; this paper releases no replacement detector.	https://arxiv.org/abs/2502.12611
2502.12064	non_candidate_class	language_shared_task	false_positive	The best reported macro F1 is 80.19 percent on an older English/Spanish GLTR shared task, below the accuracy-first screen.	https://arxiv.org/abs/2502.12064
2502.11336	explicit_disposition	exclude_retrieval	candidate_disposition	Example-based inference is a retrieval lane and therefore excluded before accuracy ranking.	https://arxiv.org/abs/2502.11336
2502.04528	explicit_disposition	retain_reject	candidate_disposition	This threshold-optimization study does not release a detector demonstrating fixed DW1 accuracy and speed.	https://arxiv.org/abs/2502.04528
2501.18998	non_candidate_class	attack_only	false_positive	SOTA and AUROC values measure an adversarial attack's reduction of detector scores, not a candidate detector.	https://arxiv.org/abs/2501.18998
2501.14288	non_candidate_class	no_threshold_evidence	false_positive	The claim that a semantic-similarity classifier works better gives no metric, frozen state, or like-for-like Binoculars and deployment evidence.	https://arxiv.org/abs/2501.14288
2501.11914	non_candidate_class	shared_task_system	false_positive	The 0.7458 English and 0.7513 multilingual macro F1 values are shared-task results below the accuracy-first screen.	https://arxiv.org/abs/2501.11914
2501.11012	non_candidate_class	shared_task_overview	not_flagged	This is the COLING task overview and result inventory, not a detector proposal.	https://arxiv.org/abs/2501.11012
2501.09813	non_candidate_class	shared_task_system	false_positive	The best F1 values of 0.8333 and 0.8301 are one multilingual shared-task submission, not a general high-accuracy replacement.	https://arxiv.org/abs/2501.09813
2501.08913	non_candidate_class	shared_task_overview	false_positive	The over-99-percent statement summarizes participant systems at fixed five-percent FPR; the paper itself releases no new detector.	https://arxiv.org/abs/2501.08913
2501.03940	explicit_disposition	retain_reject	candidate_disposition	The released supervised detector remains below the accuracy-first evidence threshold and lacks the fixed full deployment comparison.	https://arxiv.org/abs/2501.03940
