arxiv_id	published	title	exports	semantic_flags	flag_evidence	mapping_kind	disposition_code	class_definition	flag_resolution	reason	source	composite_required	composite_resolution	embedded_result_count	composite_reason
2606.18946	2026-06-17	SenFlow: Inter-Sentence Flow Modeling for AI-Generated Text Detection in Hybrid Documents	coverage_query_ai_generated.atom	sota;metric	n a single document-level pass over a sentence graph. SenFlow reaches state-of-the-art performance on MOSAIC, with a +4.15 pp average Macro-F1 margin on cross-domain transfer, the hardest of three || state-of-the-art performance on MOSAIC, with a +4.15 pp average Macro-F1 margin on cross-domain transfer, the hardest of three protocols of increasing difficulty. We further find tha	non_candidate_class	different_unit	prediction unit differs from general document-level detection	false_positive	The SOTA Macro-F1 claim is for sentence labeling inside hybrid documents, not general document-level binary detection.	https://arxiv.org/abs/2606.18946	false	not_composite	0	not_composite
2606.07313	2026-06-05	SV-Detect: AI-generated Text Detection with Steering Vectors	coverage_query_ai_generated.atom	high_performance	ection features yields the final detection score. Our method achieves strong performance both in-distribution and under distribution shift, including across domains, source models, and machine-editi	explicit_disposition	reconstruction_only	released material permits only a non-paper-state reconstruction	candidate_disposition	Near-perfect matched-family AUROC is supervised and the release omits trained steering directions and classifier state.	https://arxiv.org/abs/2606.07313	false	not_composite	0	not_composite
2606.04906	2026-06-03	'Your AI Text is not Mine': Redefining and Evaluating AI-generated Text Detection under Realistic Assumptions	coverage_query_ai_generated.atom	none	none	non_candidate_class	benchmark_study	benchmark contribution rather than a detector proposal	not_flagged	AITDNA redefines and benchmarks mixed human-machine provenance but does not release a new qualifying detector.	https://arxiv.org/abs/2606.04906	true	expanded_results	2	Pangram and GPTZero exceed the threshold only on the new mixed-authorship document notion, so both receive explicit scope and artifact dispositions.
2606.04177	2026-06-02	A Systematic Analysis of Linguistic Features in AI-Generated Text Detection Across Domains and Models	coverage_query_ai_generated.atom	none	none	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	not_flagged	The paper's linear SVM reaches 0.968 AUROC in-domain and 0.907-0.945 under held-out tests, but F1 falls to 0.588-0.827 and no frozen detector state, low-FPR row, or timing is public.	https://arxiv.org/abs/2606.04177	true	expanded_results	1	The proposed linguistic-feature SVM and its many fitted testbed states remain handled by the explicit parent disposition; the separately named MAGE Longformer comparison baseline also exceeds 0.90 and receives its own child disposition.
2606.02158	2026-06-01	On the Salience of Low-Probability Tokens for AI-Generated Text Detection: A Multiscale Uncertainty Perspective	coverage_query_ai_generated.atom	none	none	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	not_flagged	Strong AUROC and public code lack a like-for-like Binoculars row and a complete length, batch, and timing basis.	https://arxiv.org/abs/2606.02158	false	not_composite	0	not_composite
2606.00402	2026-05-29	A Distribution-Free Framework for Rewrite-Based Human-text Detection via Knockoff Filtering	coverage_query_llm_generated.atom	none	none	explicit_disposition	exclude_rewriting	inference rewrites the target text	not_flagged	The framework expressly converts rewrite-based detectors and therefore remains outside the no-rewriting method boundary.	https://arxiv.org/abs/2606.00402	false	not_composite	0	not_composite
2605.27921	2026-05-27	Show, Don't TELL: Explainable AI-Generated Text Detection	coverage_query_ai_generated.atom	sota;comparative;high_performance;metric	rning to improve performance. We achieve competitive performance with state-of-the-art detectors (AUROC 0.927) while natively providing annotations that explain the basis for the detector's decisi || and further refine the system using GRPO with curriculum learning to improve performance. We achieve competitive performance with state-of-the-art detectors (AUROC 0.927) while natively || sing GRPO with curriculum learning to improve performance. We achieve competitive performance with state-of-the-art detectors (AUROC 0.927) while natively providing annotations that explain the basis for || . We achieve competitive performance with state-of-the-art detectors (AUROC 0.927) while natively providing annotations that explain the basis for the detector's decision. We further ev	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	Reported 0.927 AUROC is below the accuracy lead sought and the explanation-generating system lacks fixed speed evidence.	https://arxiv.org/abs/2605.27921	false	not_composite	0	not_composite
2605.25281	2026-05-24	READER: Reasoning-Enhanced AI-Generated Text Detection	coverage_query_ai_generated.atom	comparative	erence time. Despite having only 1.5B parameters, READER consistently outperforms existing detectors as well as prompted, high-capacity LLM baselines (GPT-5.2, Gemini-3-Pro, and DeepSeek-V3.2	explicit_disposition	exclude_generation	inference generates new content	candidate_disposition	The 1.5B detector autoregressively reasons before classifying, making generation part of inference.	https://arxiv.org/abs/2605.25281	false	not_composite	0	not_composite
2605.20761	2026-05-20	Findings of the Counter Turing Test: AI-Generated Text Detection	coverage_query_ai_generated.atom	sota;best;high_performance;metric	and security threats. This paper provides a comprehensive analysis of state-of-the-art AI-generated text detection techniques and evaluates their effectiveness through the Counter Turing Test (CT2 || .0000, but significantly lower scores in model attribution, where the best system achieved 0.9531, highlighting the increased complexity of this task. The top-performing teams leverage || del responsible for generating a given text. The results demonstrated high performance in binary classification, with the top system achieving an F1 score of 1.0000, but significantly lower scores || erformance in binary classification, with the top system achieving an F1 score of 1.0000, but significantly lower scores in model attribution, where the best system achieved 0.9531,	non_candidate_class	shared_task_overview	task inventory reporting other systems rather than a detector proposal	false_positive	The perfect F1 belongs to the top Counter Turing Test submission; this paper surveys submissions and supplies no new fixed detector.	https://arxiv.org/abs/2605.20761	true	expanded_results	8	All eight qualifying Task A systems are expanded, including four primary-paper carry-forwards and explicit primary-paper absence for three teams.
2605.16107	2026-05-15	Multi-Level Contextual Token Relation Modeling for Machine-Generated Text Detection	coverage_query_machine_generated.atom	best;comparative	ethods that are prone to overfitting. Given their diverse designs, we first place representative metric-based methods within a unified framework, enabling a clear assessment of their advantag || inference framework. Extensive experiments show broad and substantial improvements across various real-world scenarios, including cross-LLM and cross-domain settings, with low computational ov	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	Only supplementary material was released, so no runnable detector state supports the claimed gains.	https://arxiv.org/abs/2605.16107	false	not_composite	0	not_composite
2605.15518	2026-05-15	DetectRL-X: Towards Reliable Multilingual and Real-World LLM-Generated Text Detection	coverage_query_llm_generated.atom	sota	results on DetectRL-X reveal the strengths and limitations of current state-of-the-art detectors when applied to diverse linguistic resources. We further analyze how domains, generators, attack st	non_candidate_class	benchmark_study	benchmark contribution rather than a detector proposal	false_positive	SOTA refers to detectors evaluated by the multilingual DetectRL-X benchmark, not to a new detector proposed by this work.	https://arxiv.org/abs/2605.15518	true	expanded_results	4	All four named detectors cross 0.90 on at least one binary language or aggregate cell; the weaker multilingual averages and distinct artifact states remain beside each high value.
2605.14240	2026-05-14	Paraphrasing Attack Resilience of Various AI-Generated Text Detection Methods	coverage_query_ai_generated.atom;coverage_query_machine_generated.atom	sota	ection, which complicates the current perception of reliability among state-of-the-art techniques.	non_candidate_class	attack_evaluation	evaluation of detector vulnerability rather than a detector proposal	false_positive	The SOTA phrase describes methods under study; this paper evaluates paraphrase resilience and does not propose a qualifying detector.	https://arxiv.org/abs/2605.14240	true	no_qualifying_result	0	The paper's greater-than-90-percent Binoculars language summarizes prior literature rather than this evaluation; locally the best initial ensemble F1 is 0.8061 and falls to 0.6716 after attack, so no embedded result qualifies.
2605.06903	2026-05-07	MELD: Multi-Task Equilibrated Learning Detector for AI-Generated Text	coverage_query_ai_generated.atom	comparative;metric;high_percent	es the four losses with learned homoscedastic uncertainty weights. To improve robustness, an EMA teacher predicts on clean inputs while an attack-augmented student is distilled toward the || ractice, however, a detector must do more than achieve high aggregate AUROC on clean, in-distribution human and AI text: it should remain robust to attacks and adversarial rewrites, tra || our major LLM providers. Without additional finetuning, MELD achieves 99.9% TPR at 1% FPR on MELD-eval, while many baselines degrade sharply.	explicit_disposition	advance_blocker	actionable lead blocked by a named evidence or version gap	candidate_disposition	Paper-era and current-v5 states are incomparable; v5 trails stored comparator AUROC and shipped thresholds fail local transfer.	https://arxiv.org/abs/2605.06903	false	not_composite	0	not_composite
2605.03723	2026-05-05	Segmenting Human-LLM Co-authored Text via Change Point Detection	coverage_query_llm_generated.atom	high_performance	minimax optimality of our procedure. Empirically, we demonstrate the strong performance of our approach against a wide range of existing baselines. The python implementation of our proposal is avai	non_candidate_class	different_unit	prediction unit differs from general document-level detection	false_positive	The strong-performance claim concerns change-point localization in human-LLM coauthored text, not document-level binary detection.	https://arxiv.org/abs/2605.03723	false	not_composite	0	not_composite
2605.02712	2026-05-04	mdok-style at SemEval-2026 Task 10: Finetuning LLMs for Conspiracy Detection	coverage_query_machine_generated.atom	none	none	non_candidate_class	different_task	classification target differs from human-versus-machine documents	not_flagged	This SemEval system detects conspiracy belief; machine-generated-text detection is only the origin of its training recipe.	https://arxiv.org/abs/2605.02712	false	not_composite	0	not_composite
2605.02374	2026-05-04	Fight Poison with Poison: Enhancing Robustness in Few-shot Machine-Generated Text Detection with Adversarial Training	coverage_query_machine_generated.atom	sota;comparative;metric	s show that REACT improves average detection F1 by 4.95 points over 8 state-of-the-art (SOTA) detectors and reduces the average attack success rate (ASR) under 4 strong attacks by 3.66 percentage || ive Few-shot Detector (REACT), an adversarial training framework that improves both few-shot detection performance and robustness against attacks. REACT couples a humanization-oriented att || t sizes and 3 random seeds show that REACT improves average detection F1 by 4.95 points over 8 state-of-the-art (SOTA) detectors and reduces the average attack success rate (ASR) und	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	Few-shot adversarial training is not a released general detector with like-for-like Binoculars, low-FPR, and A6000 evidence.	https://arxiv.org/abs/2605.02374	false	not_composite	0	not_composite
2604.25860	2026-04-28	Luminol-AIDetect: Fast Zero-shot Machine-Generated Text Detection based on Perplexity under Text Shuffling	coverage_query_machine_generated.atom	sota;metric	rsarial attack types, and 18 languages, Luminol-AIDetect demonstrates state-of-the-art performance, with gains up to 17x lower FPR while being cheaper than prior methods. || demonstrates state-of-the-art performance, with gains up to 17x lower FPR while being cheaper than prior methods.	explicit_disposition	exclude_multi_perturbation	inference aggregates multiple target perturbations	candidate_disposition	Detection depends on randomized target-text shuffling and ensemble features, crossing the strict multi-perturbation boundary.	https://arxiv.org/abs/2604.25860	false	not_composite	0	not_composite
2604.21365	2026-04-23	mcdok at SemEval-2026 Task 13: Finetuning LLMs for Detection of Machine-Generated Code	coverage_query_machine_generated.atom	comparative	ins from the top-performing systems are significant, and thus further improvements are possible.	non_candidate_class	different_task	classification target differs from human-versus-machine documents	false_positive	This shared-task system detects and attributes generated source code rather than general prose.	https://arxiv.org/abs/2604.21365	false	not_composite	0	not_composite
2604.21300	2026-04-23	Explainable Disentangled Representation Learning for Generalizable Authorship Attribution in the Era of Generative AI	coverage_query_ai_generated.atom	sota	ate the effectiveness of EAVAE. On authorship attribution, we achieve state-of-the-art performance on various datasets, including Amazon Reviews, PAN21, and HRS. For AI-generated text detection, E	non_candidate_class	authorship_attribution	author or generator attribution rather than binary detection	false_positive	The SOTA claim applies to authorship-attribution datasets; the few-shot AI-detection statement gives no fixed metric, state, or deployment basis.	https://arxiv.org/abs/2604.21300	false	not_composite	0	not_composite
2604.21223	2026-04-23	Zero-Shot Detection of LLM-Generated Text via Implicit Reward Model	coverage_query_llm_generated.atom	comparative	te IRM on the DetectRL benchmark and demonstrate that IRM can achieve superior detection performance, outperforms existing zero-shot and supervised methods in LLM-generated text detection.	explicit_disposition	runnable_control	public detector retained as a non-qualifying control	candidate_disposition	The best model pair is gated and the strongest anonymous pair trails stored Binoculars on the frozen local rows.	https://arxiv.org/abs/2604.21223	false	not_composite	0	not_composite
2604.16923	2026-04-18	Alignment Imprint: Zero-Shot AI-Generated Text Detection via Provable Preference Discrepancy	coverage_query_ai_generated.atom	comparative	tectGPT in performance. We also theoretically show that LAPD strictly improves the unweighted alignment scores when the aligned and base models are close in distribution. Extensive experim	explicit_disposition	exclude_multi_perturbation	inference aggregates multiple target perturbations	candidate_disposition	Its standardization draws 10,000 categorical auxiliary samples per token, violating the strict multi-perturbation constraint.	https://arxiv.org/abs/2604.16923	false	not_composite	0	not_composite
2604.16607	2026-04-17	Spotlights and Blindspots: Evaluating Machine-Generated Text Detection	coverage_query_machine_generated.atom	none	none	non_candidate_class	evaluation_study	comparison of existing detectors rather than a detector proposal	not_flagged	This work compares existing detectors and finds unstable rankings; it does not propose a new released state.	https://arxiv.org/abs/2604.16607	true	expanded_results	12	Twelve named detector variants reach 0.90 AUROC on at least one dataset; every one is expanded even though means are at most 0.80 and every variant has a worst-dataset value at or below 0.60.
2606.00016	2026-04-13	AEyeDE: An Attention-Based Attribution Framework for AI-Generated Text Detection	coverage_query_ai_generated.atom	comparative	Across encoder-decoder translation settings, our method consistently outperforms a text-only baseline. In decoder-only settings, it performs strongly in generator-specific detection, remains	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	Attention attribution lacks a released detector state and fixed low-FPR, 2,048-token A6000 comparison.	https://arxiv.org/abs/2606.00016	false	not_composite	0	not_composite
2604.11796	2026-04-13	C-ReD: A Comprehensive Chinese Benchmark for AI-Generated Text Detection Derived from Real-World Prompts	coverage_query_ai_generated.atom	none	none	non_candidate_class	language_benchmark	non-English benchmark rather than a general DW1 detector	not_flagged	C-ReD is a Chinese benchmark and resource, not a general English DW1 replacement.	https://arxiv.org/abs/2604.11796	true	expanded_results	12	Twelve named methods or trained families cross 0.90 on at least one domain, generator, or transfer cell; low domain means and method exclusions are retained individually rather than hidden by aggregation.
2604.04932	2026-04-06	Beyond the Final Actor: Modeling the Dual Roles of Creator and Editor for Fine-Grained LLM-Generated Text Detection	coverage_query_llm_generated.atom	best;comparative	ich can only distinguish pure human/LLM text or collaborative text at best. This remains insufficient for the nuanced regulation, as the LLM-polished human text and humanized LLM text || DU)-level features for the editor's style. Experiments show that RACE outperforms 12 baselines in identifying fine-grained types with low false alarms, offering a policy-aligned solution for	non_candidate_class	different_task	classification target differs from human-versus-machine documents	false_positive	The comparative claim concerns four-class creator/editor attribution, not the fixed binary general-document task.	https://arxiv.org/abs/2604.04932	false	not_composite	0	not_composite
2604.02008	2026-04-02	$k$NNProxy: Efficient Training-Free Proxy Alignment for Black-Box Zero-Shot LLM-Generated Text Detection	coverage_query_llm_generated.atom	comparative;high_performance	ned prediction without proxy fine-tuning or per-token API outputs. To improve robustness under domain shift, we extend $k$NNProxy into a mixture of proxies (MoP) that routes each input to || re for domain-consistent retrieval. Extensive experiments demonstrate strong detection performance of our method.	explicit_disposition	exclude_retrieval	inference retrieves a retained example or nearest neighbor	candidate_disposition	The defining proxy alignment uses k-nearest-neighbor lookup, violating the no-retrieval constraint.	https://arxiv.org/abs/2604.02008	false	not_composite	0	not_composite
2603.27949	2026-03-30	EnsemJudge: Enhancing Reliability in Chinese LLM-Generated Text Detection through Diverse Model Ensembles	coverage_query_llm_generated.atom	best;comparative	d Task 1. Our approach outperformed all baseline methods and achieved first place in the task, demonstrating its effectiveness and reliability in Chinese LLM-generated text detection. Our cod || ted Chinese dataset provided by NLPCC2025 Shared Task 1. Our approach outperformed all baseline methods and achieved first place in the task, demonstrating its effectiveness and reliability in	non_candidate_class	language_shared_task	non-English shared-task result outside general DW1 use	false_positive	First place and baseline gains are confined to a Chinese shared-task ensemble, not a general English detector comparison.	https://arxiv.org/abs/2603.27949	true	expanded_results	13	Thirteen detector configurations reach 0.90 on an aggregate, attack, or length bucket; every baseline and specialist version receives a separate disposition with the weaker official aggregate.
2604.19768	2026-03-27	Saying More Than They Know: A Framework for Quantifying Epistemic-Rhetorical Miscalibration in Large Language Models	coverage_query_llm_generated.atom	none	none	non_candidate_class	analysis_only	analysis or feature study without a proposed detector result	not_flagged	The rhetorical-miscalibration framework offers possible screening features but no binary detector accuracy, state, or comparator.	https://arxiv.org/abs/2604.19768	false	not_composite	0	not_composite
2603.24981	2026-03-26	Exons-Detect: Identifying and Amplifying Exonic Tokens via Hidden-State Discrepancy for Robust AI-Generated Text Detection	coverage_query_ai_generated.atom	sota;comparative;high_performance;metric	equence. Empirical evaluations demonstrate that Exons-Detect achieves state-of-the-art detection performance and exhibits strong robustness to adversarial attacks and varying input lengths. In par || and varying input lengths. In particular, it attains a 2.2\% relative improvement in average AUROC over the strongest prior baseline on DetectRL. || ection methods. While existing training-free approaches often achieve strong performance by aggregating token-level signals into a global score, they typically assume uniform token contributions, ma || hs. In particular, it attains a 2.2\% relative improvement in average AUROC over the strongest prior baseline on DetectRL.	explicit_disposition	exclude_regeneration	inference constructs a replacement sequence	candidate_disposition	The strong same-table AUROC requires an ideal-sequence mutation-repair term, violating the no-regeneration constraint.	https://arxiv.org/abs/2603.24981	false	not_composite	0	not_composite
2603.23146	2026-03-24	Why AI-Generated Text Detection Fails: Evidence from Explainable AI Beyond Benchmark Accuracy	coverage_query_ai_generated.atom	high_performance;metric	025, our model trained on 30 linguistic features achieves leaderboard-competitive performance, attaining an F1 score of 0.9734. However, systematic cross-domain and cross-generator evaluation reveals sub || d Text Detection Fails: Evidence from Explainable AI Beyond Benchmark Accuracy. The widespread adoption of Large Language Models (LLMs) has made the detection of AI-Generated text a pressi	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	The 0.9734 in-domain F1 feature detector degrades under cross-domain and cross-generator shift and lacks fixed Binoculars, low-FPR, and A6000 evidence.	https://arxiv.org/abs/2603.23146	true	expanded_results	8	Eight named embedded systems or variants cross 0.90: mdok, the TF-IDF baseline, four fitted classifier variants, and two external-test ensembles; every high result is explicit despite weak transfer or absent states.
2603.18750	2026-03-19	Automatic detection of Gen-AI texts: A comparative framework of neural models	coverage_query_ai_generated.atom	high_performance	ealth. Results show that supervised detectors achieve more stable and robust performance than commercial tools across different languages and domains, highlighting key strengths and limitations of c	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	The proposed detectors peak at 91.67 percent on the 60-row English test and 98.3 percent on a 60-row thematic test; the public notebooks ship no checkpoint, and no matched Binoculars, low-FPR, or timing result establishes parity.	https://arxiv.org/abs/2603.18750	true	expanded_results	13	All twelve unique named detectors with a high overall or class-only value are dispositioned, with GPTZero's two distinct test results retained separately for thirteen rows and class-collapse evidence made explicit.
2603.05617	2026-03-05	NOTAI.AI: Explainable Detection of Machine-Generated Text via Curvature and Feature Attribution	coverage_query_machine_generated.atom	none	none	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	not_flagged	The explanatory FastDetectGPT ensemble lacks a frozen public detector state and like-for-like low-FPR and speed evidence.	https://arxiv.org/abs/2603.05617	false	not_composite	0	not_composite
2602.15514	2026-02-17	DependencyAI: Detecting AI Generated Text through Dependency Parsing	coverage_query_ai_generated.atom	high_performance	ly the labels of linguistic dependency relations. Our method achieves competitive performance across monolingual, multi-generator, and multilingual settings. To increase interpretability, we analyze feat	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	DependencyAI claims competitive performance but reports cross-domain overprediction and no fixed metric, artifact state, or A6000 comparator in the export.	https://arxiv.org/abs/2602.15514	false	not_composite	0	not_composite
2602.11871	2026-02-12	DMAP: A Distribution Map for Text	coverage_query_machine_generated.atom	none	none	non_candidate_class	analysis_only	analysis or feature study without a proposed detector result	not_flagged	DMAP is a general text representation illustrated through case studies, not a frozen detector with a qualifying accuracy result.	https://arxiv.org/abs/2602.11871	false	not_composite	0	not_composite
2602.08031	2026-02-08	Beyond Raw Detection Scores: Markov-Informed Calibration for Boosting Machine-Generated Text Detection	coverage_query_machine_generated.atom	best	ethods that are prone to overfitting. Given their diverse designs, we first place representative metric-based methods within a unified framework, enabling a clear assessment of their advantag	explicit_disposition	calibration_watchlist	calibration method retained without a qualifying detector state	candidate_disposition	The public calibration code ships no per-dataset supervised state and lacks a whole-path fixed A6000 comparison.	https://arxiv.org/abs/2602.08031	false	not_composite	0	not_composite
2602.01240	2026-02-01	Minimizing Mismatch Risk: A Prototype-Based Routing Framework for Zero-shot LLM-generated Text Detection	coverage_query_llm_generated.atom	comparative;high_performance	s. Experiments on EvoBench and MAGE benchmarks demonstrate consistent improvements across multiple detection criteria and model families. || -source alignment. We observe that while no single surrogate achieves optimal performance universally, a well-matched surrogate typically exists within a diverse pool for any given input. This findin	explicit_disposition	retain_reject	individually reviewed detector fails one or more fixed gates	candidate_disposition	Prototype routing adds supervised state and proxy-selection requirements without a released fixed DW1 parity and two-A6000 result.	https://arxiv.org/abs/2602.01240	false	not_composite	0	not_composite
